image,brand,body_style
"88,000+_Images_of_Cars_60031.jpg",LEXUS,sedan
"88,000+_Images_of_Cars_70222.jpg",FIAT,family_car
"88,000+_Images_of_Cars_57676.jpg",LEXUS,suv
"88,000+_Images_of_Cars_30835.jpg",HONDA,sports_car
train_00813.jpg,KIA,hatchback
"88,000+_Images_of_Cars_3998.jpg",CHEVROLET,sports_car
"88,000+_Images_of_Cars_37182.jpg",VOLVO,sports_car
"88,000+_Images_of_Cars_5331.jpg",FIAT,sports_car
"88,000+_Images_of_Cars_85730.jpg",PEUGEOT,family_car
"88,000+_Images_of_Cars_27391.jpg",KIA,suv
"88,000+_Images_of_Cars_21938.jpg",OPEL,sports_car
"88,000+_Images_of_Cars_73918.jpg",MAZDA,sports_car
"88,000+_Images_of_Cars_1157.jpg",FORD,suv
"88,000+_Images_of_Cars_81556.jpg",FORD,sports_car
"88,000+_Images_of_Cars_86239.jpg",PEUGEOT,family_car
"88,000+_Images_of_Cars_80890.jpg",LEXUS,suv
test_01440.jpg,FORD,family_car
"88,000+_Images_of_Cars_88214.jpg",RENAULT,family_car
"88,000+_Images_of_Cars_35795.jpg",HYUNDAI,sedan
"88,000+_Images_of_Cars_14983.jpg",NISSAN,sports_car
"88,000+_Images_of_Cars_25586.jpg",FIAT,sports_car
"88,000+_Images_of_Cars_7240.jpg",HYUNDAI,sports_car
test_01326.jpg,HONDA,sports_car
"88,000+_Images_of_Cars_8173.jpg",CHEVROLET,suv
"88,000+_Images_of_Cars_52068.jpg",HYUNDAI,suv
"88,000+_Images_of_Cars_23691.jpg",OPEL,sports_car
test_00038.jpg,CHEVROLET,suv
"88,000+_Images_of_Cars_74911.jpg",FORD,family_car
"88,000+_Images_of_Cars_87899.jpg",HONDA,family_car
"88,000+_Images_of_Cars_26931.jpg",LEXUS,sports_car
test_03531.jpg,CHEVROLET,suv
"88,000+_Images_of_Cars_20398.jpg",FORD,family_car
"88,000+_Images_of_Cars_21086.jpg",KIA,family_car
"88,000+_Images_of_Cars_71869.jpg",FORD,suv
"88,000+_Images_of_Cars_3026.jpg",ALFAROMEO,sports_car
"88,000+_Images_of_Cars_11145.jpg",FORD,suv
"88,000+_Images_of_Cars_83427.jpg",PEUGEOT,sports_car
"88,000+_Images_of_Cars_57110.jpg",NISSAN,sedan
"88,000+_Images_of_Cars_39805.jpg",KIA,suv
"88,000+_Images_of_Cars_41766.jpg",FORD,sports_car
"88,000+_Images_of_Cars_85042.jpg",HONDA,family_car
"88,000+_Images_of_Cars_28908.jpg",NISSAN,suv
"88,000+_Images_of_Cars_21092.jpg",CHEVROLET,sports_car
"88,000+_Images_of_Cars_57104.jpg",FORD,suv
test_05154.jpg,RENAULT,sports_car
"88,000+_Images_of_Cars_11151.jpg",FORD,suv
"88,000+_Images_of_Cars_40478.jpg",KIA,sports_car
"88,000+_Images_of_Cars_31281.jpg",FORD,suv
"88,000+_Images_of_Cars_32788.jpg",HONDA,family_car
"88,000+_Images_of_Cars_43171.jpg",LEXUS,sports_car
"88,000+_Images_of_Cars_12458.jpg",FORD,family_car
"88,000+_Images_of_Cars_87655.jpg",RENAULT,family_car
"88,000+_Images_of_Cars_8167.jpg",FORD,family_car
train_02976.jpg,CHEVROLET,suv
"88,000+_Images_of_Cars_32950.jpg",FIAT,sports_car
"88,000+_Images_of_Cars_33496.jpg",RENAULT,sports_car
"88,000+_Images_of_Cars_81224.jpg",RENAULT,family_car
test_07743.jpg,FORD,family_car
"88,000+_Images_of_Cars_1625.jpg",NISSAN,family_car
"88,000+_Images_of_Cars_81542.jpg",VOLVO,suv
"88,000+_Images_of_Cars_1143.jpg",NISSAN,family_car
"88,000+_Images_of_Cars_45266.jpg",NISSAN,suv
"88,000+_Images_of_Cars_24854.jpg",FIAT,sports_car
"88,000+_Images_of_Cars_62801.jpg",VOLVO,suv
"88,000+_Images_of_Cars_88200.jpg",PEUGEOT,family_car
test_00992.jpg,CITROEN,sports_car
"88,000+_Images_of_Cars_25592.jpg",CHEVROLET,suv
"88,000+_Images_of_Cars_69954.jpg",KIA,sports_car
"88,000+_Images_of_Cars_57662.jpg",ALFAROMEO,sports_car
"88,000+_Images_of_Cars_3754.jpg",HYUNDAI,hatchback
"88,000+_Images_of_Cars_11637.jpg",CITROEN,sports_car
"88,000+_Images_of_Cars_58551.jpg",NISSAN,sports_car
"88,000+_Images_of_Cars_48742.jpg",PEUGEOT,sports_car
"88,000+_Images_of_Cars_76874.jpg",VOLVO,suv
"88,000+_Images_of_Cars_78859.jpg",HYUNDAI,suv
"88,000+_Images_of_Cars_37196.jpg",CITROEN,sports_car
"88,000+_Images_of_Cars_17246.jpg",OPEL,sports_car
"88,000+_Images_of_Cars_27385.jpg",HYUNDAI,sedan
train_05957.jpg,OPEL,sports_car
"88,000+_Images_of_Cars_35971.jpg",HONDA,sports_car
train_04491.jpg,HYUNDAI,family_car
"88,000+_Images_of_Cars_52732.jpg",HYUNDAI,suv
test_00762.jpg,FORD,suv
"88,000+_Images_of_Cars_44150.jpg",MAZDA,sedan
"88,000+_Images_of_Cars_8629.jpg",KIA,family_car
"88,000+_Images_of_Cars_64280.jpg",LEXUS,sports_car
"88,000+_Images_of_Cars_455.jpg",CHEVROLET,family_car
"88,000+_Images_of_Cars_74093.jpg",KIA,sports_car
"88,000+_Images_of_Cars_40336.jpg",HONDA,sedan
train_06286.jpg,VOLVO,sports_car
"88,000+_Images_of_Cars_47459.jpg",ALFAROMEO,sports_car
train_07198.jpg,FIAT,sports_car
"88,000+_Images_of_Cars_78871.jpg",FIAT,sports_car
"88,000+_Images_of_Cars_41028.jpg",CHEVROLET,suv
"88,000+_Images_of_Cars_76684.jpg",HYUNDAI,suv
"88,000+_Images_of_Cars_82063.jpg",LEXUS,sports_car
"88,000+_Images_of_Cars_59101.jpg",CHEVROLET,suv
"88,000+_Images_of_Cars_46021.jpg",FIAT,family_car
"88,000+_Images_of_Cars_28920.jpg",NISSAN,hatchback
"88,000+_Images_of_Cars_40450.jpg",FORD,suv
"88,000+_Images_of_Cars_71855.jpg",VOLVO,suv
"88,000+_Images_of_Cars_37800.jpg",MAZDA,sedan
"88,000+_Images_of_Cars_333.jpg",NISSAN,suv
"88,000+_Images_of_Cars_63289.jpg",FORD,sports_car
train_02786.jpg,LEXUS,sports_car
"88,000+_Images_of_Cars_23875.jpg",PEUGEOT,family_car
"88,000+_Images_of_Cars_9251.jpg",FORD,family_car
"88,000+_Images_of_Cars_14001.jpg",CHEVROLET,suv
"88,000+_Images_of_Cars_6162.jpg",CHEVROLET,family_car
"88,000+_Images_of_Cars_62197.jpg",CHEVROLET,suv
train_03498.jpg,PEUGEOT,family_car
"88,000+_Images_of_Cars_12464.jpg",FORD,sports_car
train_02792.jpg,CHEVROLET,family_car
"88,000+_Images_of_Cars_86577.jpg",FIAT,family_car
"88,000+_Images_of_Cars_62183.jpg",PEUGEOT,sports_car
train_00185.jpg,HYUNDAI,suv
test_04276.jpg,RENAULT,sports_car
"88,000+_Images_of_Cars_10273.jpg",MAZDA,sports_car
"88,000+_Images_of_Cars_51549.jpg",LEXUS,sports_car
"88,000+_Images_of_Cars_46035.jpg",HYUNDAI,suv
"88,000+_Images_of_Cars_28934.jpg",CHEVROLET,suv
test_02607.jpg,CHEVROLET,sports_car
"88,000+_Images_of_Cars_50657.jpg",FIAT,sports_car
"88,000+_Images_of_Cars_40444.jpg",CHEVROLET,sports_car
"88,000+_Images_of_Cars_40322.jpg",FORD,suv
"88,000+_Images_of_Cars_3768.jpg",CHEVROLET,suv
test_02161.jpg,VOLVO,family_car
"88,000+_Images_of_Cars_50131.jpg",MAZDA,suv
"88,000+_Images_of_Cars_19257.jpg",KIA,family_car
"88,000+_Images_of_Cars_5319.jpg",FORD,suv
"88,000+_Images_of_Cars_38299.jpg",KIA,suv
"88,000+_Images_of_Cars_66483.jpg",KIA,sports_car
"88,000+_Images_of_Cars_46753.jpg",KIA,family_car
"88,000+_Images_of_Cars_59673.jpg",NISSAN,suv
"88,000+_Images_of_Cars_10515.jpg",VOLVO,family_car
test_04510.jpg,KIA,suv
"88,000+_Images_of_Cars_2476.jpg",RENAULT,sports_car
"88,000+_Images_of_Cars_56540.jpg",MAZDA,hatchback
"88,000+_Images_of_Cars_55049.jpg",NISSAN,sports_car
"88,000+_Images_of_Cars_73930.jpg",HONDA,suv
test_07019.jpg,HONDA,family_car
test_00776.jpg,HYUNDAI,sports_car
"88,000+_Images_of_Cars_52726.jpg",KIA,suv
"88,000+_Images_of_Cars_86211.jpg",PEUGEOT,family_car
"88,000+_Images_of_Cars_64294.jpg",RENAULT,sports_car
"88,000+_Images_of_Cars_441.jpg",HYUNDAI,family_car
"88,000+_Images_of_Cars_25021.jpg",HYUNDAI,hatchback
test_06688.jpg,CHEVROLET,suv
"88,000+_Images_of_Cars_13593.jpg",CHEVROLET,sports_car
"88,000+_Images_of_Cars_75616.jpg",HYUNDAI,suv
"88,000+_Images_of_Cars_54800.jpg",KIA,family_car
"88,000+_Images_of_Cars_12855.jpg",CHEVROLET,suv
"88,000+_Images_of_Cars_23450.jpg",NISSAN,sports_car
"88,000+_Images_of_Cars_40875.jpg",FORD,sports_car
"88,000+_Images_of_Cars_61663.jpg",NISSAN,sports_car
test_05381.jpg,HYUNDAI,sports_car
"88,000+_Images_of_Cars_78332.jpg",FORD,sports_car
"88,000+_Images_of_Cars_84189.jpg",HYUNDAI,family_car
"88,000+_Images_of_Cars_4588.jpg",CHEVROLET,suv
"88,000+_Images_of_Cars_67212.jpg",FORD,suv
"88,000+_Images_of_Cars_39408.jpg",CHEVROLET,sports_car
"88,000+_Images_of_Cars_68121.jpg",CHEVROLET,suv
"88,000+_Images_of_Cars_48597.jpg",RENAULT,sports_car
"88,000+_Images_of_Cars_56971.jpg",HYUNDAI,suv
"88,000+_Images_of_Cars_79992.jpg",CITROEN,sedan
"88,000+_Images_of_Cars_77767.jpg",LEXUS,sedan
"88,000+_Images_of_Cars_58784.jpg",FORD,suv
"88,000+_Images_of_Cars_83180.jpg",PEUGEOT,sports_car
"88,000+_Images_of_Cars_49689.jpg",CITROEN,suv
"88,000+_Images_of_Cars_69559.jpg",VOLVO,suv
"88,000+_Images_of_Cars_23336.jpg",FIAT,sports_car
"88,000+_Images_of_Cars_65363.jpg",PEUGEOT,sports_car
"88,000+_Images_of_Cars_24459.jpg",NISSAN,family_car
"88,000+_Images_of_Cars_33125.jpg",HONDA,suv
"88,000+_Images_of_Cars_80489.jpg",VOLVO,suv
"88,000+_Images_of_Cars_63712.jpg",FORD,suv
"88,000+_Images_of_Cars_42904.jpg",CHEVROLET,sedan
"88,000+_Images_of_Cars_22028.jpg",HONDA,family_car
"88,000+_Images_of_Cars_864.jpg",CHEVROLET,sports_car
train_04678.jpg,KIA,suv
"88,000+_Images_of_Cars_23322.jpg",FORD,suv
"88,000+_Images_of_Cars_62418.jpg",KIA,suv
"88,000+_Images_of_Cars_33131.jpg",HYUNDAI,sports_car
train_03117.jpg,CHEVROLET,suv
"88,000+_Images_of_Cars_75164.jpg",FORD,suv
"88,000+_Images_of_Cars_15848.jpg",HYUNDAI,sports_car
"88,000+_Images_of_Cars_63706.jpg",RENAULT,suv
"88,000+_Images_of_Cars_9906.jpg",VOLVO,sports_car
train_05566.jpg,KIA,suv
"88,000+_Images_of_Cars_15690.jpg",OPEL,sports_car
"88,000+_Images_of_Cars_67560.jpg",SKODA,hatchback
"88,000+_Images_of_Cars_10930.jpg",NISSAN,family_car
test_04935.jpg,CHEVROLET,sports_car
"88,000+_Images_of_Cars_84823.jpg",PEUGEOT,family_car
"88,000+_Images_of_Cars_30438.jpg",HONDA,suv
"88,000+_Images_of_Cars_61111.jpg",LEXUS,suv
train_08042.jpg,CHEVROLET,suv
"88,000+_Images_of_Cars_38064.jpg",LEXUS,sedan
"88,000+_Images_of_Cars_58948.jpg",HYUNDAI,sedan
"88,000+_Images_of_Cars_71302.jpg",VOLVO,family_car
"88,000+_Images_of_Cars_37431.jpg",CHEVROLET,suv
"88,000+_Images_of_Cars_27622.jpg",VOLVO,sedan
train_01066.jpg,RENAULT,sports_car
"88,000+_Images_of_Cars_77015.jpg",HYUNDAI,sports_car
test_05395.jpg,HYUNDAI,hatchback
"88,000+_Images_of_Cars_60569.jpg",FORD,sports_car
train_06709.jpg,ALFAROMEO,sports_car
"88,000+_Images_of_Cars_35226.jpg",NISSAN,suv
train_05200.jpg,HYUNDAI,family_car
"88,000+_Images_of_Cars_73273.jpg",KIA,suv
"88,000+_Images_of_Cars_87494.jpg",PEUGEOT,family_car
"88,000+_Images_of_Cars_12699.jpg",HYUNDAI,family_car
test_07582.jpg,CHEVROLET,family_car
train_03671.jpg,MAZDA,sports_car
"88,000+_Images_of_Cars_17911.jpg",HYUNDAI,suv
test_03914.jpg,CHEVROLET,suv
"88,000+_Images_of_Cars_61887.jpg",KIA,suv
"88,000+_Images_of_Cars_70752.jpg",VOLVO,sedan
"88,000+_Images_of_Cars_50482.jpg",FIAT,family_car
"88,000+_Images_of_Cars_64727.jpg",LEXUS,sports_car
"88,000+_Images_of_Cars_32561.jpg",NISSAN,suv
"88,000+_Images_of_Cars_63048.jpg",CHEVROLET,suv
"88,000+_Images_of_Cars_9090.jpg",VOLVO,family_car
"88,000+_Images_of_Cars_72145.jpg",KIA,sports_car
"88,000+_Images_of_Cars_62430.jpg",PEUGEOT,sports_car
"88,000+_Images_of_Cars_24465.jpg",NISSAN,sports_car
"88,000+_Images_of_Cars_694.jpg",VOLVO,family_car
"88,000+_Images_of_Cars_44391.jpg",KIA,sports_car
"88,000+_Images_of_Cars_47698.jpg",NISSAN,family_car
"88,000+_Images_of_Cars_70034.jpg",FORD,suv
"88,000+_Images_of_Cars_67548.jpg",FORD,suv
"88,000+_Images_of_Cars_60227.jpg",VOLVO,family_car
"88,000+_Images_of_Cars_78468.jpg",FORD,suv
"88,000+_Images_of_Cars_29141.jpg",FORD,family_car
"88,000+_Images_of_Cars_79776.jpg",HYUNDAI,hatchback
"88,000+_Images_of_Cars_56795.jpg",FORD,suv
"88,000+_Images_of_Cars_76445.jpg",FIAT,sports_car
"88,000+_Images_of_Cars_69565.jpg",NISSAN,sedan
"88,000+_Images_of_Cars_60233.jpg",HYUNDAI,sports_car
"88,000+_Images_of_Cars_49879.jpg",KIA,sports_car
"88,000+_Images_of_Cars_56781.jpg",NISSAN,suv
"88,000+_Images_of_Cars_27178.jpg",KIA,sports_car
"88,000+_Images_of_Cars_38058.jpg",NISSAN,sedan
"88,000+_Images_of_Cars_77997.jpg",KIA,sports_car
"88,000+_Images_of_Cars_15874.jpg",RENAULT,sports_car
"88,000+_Images_of_Cars_74246.jpg",CHEVROLET,suv
"88,000+_Images_of_Cars_32213.jpg",NISSAN,sports_car
"88,000+_Images_of_Cars_680.jpg",HYUNDAI,sports_car
"88,000+_Images_of_Cars_22766.jpg",FORD,suv
"88,000+_Images_of_Cars_45925.jpg",LEXUS,sports_car
"88,000+_Images_of_Cars_23478.jpg",NISSAN,sports_car
train_04122.jpg,FORD,suv
"88,000+_Images_of_Cars_76337.jpg",HYUNDAI,suv
"88,000+_Images_of_Cars_26500.jpg",FORD,suv
"88,000+_Images_of_Cars_40685.jpg",CHEVROLET,suv
"88,000+_Images_of_Cars_61893.jpg",OPEL,sports_car
"88,000+_Images_of_Cars_68109.jpg",KIA,sports_car
"88,000+_Images_of_Cars_50496.jpg",FORD,sports_car
"88,000+_Images_of_Cars_31097.jpg",PEUGEOT,sports_car
test_05342.jpg,FORD,family_car
"88,000+_Images_of_Cars_61878.jpg",HONDA,hatchback
"88,000+_Images_of_Cars_5655.jpg",FIAT,sports_car
"88,000+_Images_of_Cars_30389.jpg",NISSAN,family_car
train_06906.jpg,CITROEN,sports_car
"88,000+_Images_of_Cars_55505.jpg",MAZDA,family_car
"88,000+_Images_of_Cars_33680.jpg",NISSAN,sports_car
"88,000+_Images_of_Cars_42079.jpg",KIA,suv
"88,000+_Images_of_Cars_22955.jpg",RENAULT,sports_car
"88,000+_Images_of_Cars_64900.jpg",LEXUS,family_car
test_06893.jpg,KIA,sports_car
"88,000+_Images_of_Cars_23493.jpg",ALFAROMEO,sports_car
"88,000+_Images_of_Cars_8371.jpg",CHEVROLET,family_car
"88,000+_Images_of_Cars_33858.jpg",HYUNDAI,hatchback
"88,000+_Images_of_Cars_12128.jpg",FIAT,sports_car
"88,000+_Images_of_Cars_25784.jpg",KIA,suv
"88,000+_Images_of_Cars_34851.jpg",LEXUS,sports_car
train_04877.jpg,HYUNDAI,sports_car
"88,000+_Images_of_Cars_8417.jpg",HYUNDAI,hatchback
"88,000+_Images_of_Cars_53612.jpg",LEXUS,sports_car
"88,000+_Images_of_Cars_63909.jpg",KIA,suv
"88,000+_Images_of_Cars_34689.jpg",HYUNDAI,sports_car
"88,000+_Images_of_Cars_55263.jpg",CHEVROLET,sedan
"88,000+_Images_of_Cars_1355.jpg",FORD,family_car
"88,000+_Images_of_Cars_13236.jpg",HYUNDAI,family_car
"88,000+_Images_of_Cars_41216.jpg",CHEVROLET,suv
"88,000+_Images_of_Cars_85532.jpg",HONDA,family_car
"88,000+_Images_of_Cars_51005.jpg",NISSAN,sports_car
"88,000+_Images_of_Cars_40108.jpg",FORD,suv
"88,000+_Images_of_Cars_58747.jpg",NISSAN,family_car
"88,000+_Images_of_Cars_83143.jpg",SKODA,family_car
"88,000+_Images_of_Cars_11421.jpg",NISSAN,family_car
test_05424.jpg,MAZDA,hatchback
"88,000+_Images_of_Cars_82249.jpg",NISSAN,sports_car
test_03041.jpg,FORD,sports_car
"88,000+_Images_of_Cars_37394.jpg",KIA,sedan
"88,000+_Images_of_Cars_66865.jpg",FIAT,sports_car
"88,000+_Images_of_Cars_49886.jpg",FORD,family_car
"88,000+_Images_of_Cars_26299.jpg",KIA,sports_car
"88,000+_Images_of_Cars_78483.jpg",FORD,hatchback
train_04863.jpg,FORD,suv
"88,000+_Images_of_Cars_25790.jpg",NISSAN,sedan
"88,000+_Images_of_Cars_35583.jpg",HONDA,sedan
test_01656.jpg,FORD,family_car
"88,000+_Images_of_Cars_7730.jpg",CHEVROLET,suv
"88,000+_Images_of_Cars_25948.jpg",FORD,suv
"88,000+_Images_of_Cars_45064.jpg",HONDA,sports_car
test_00548.jpg,FORD,suv
"88,000+_Images_of_Cars_13222.jpg",CHEVROLET,sports_car
test_07227.jpg,KIA,suv
test_07541.jpg,RENAULT,sports_car
"88,000+_Images_of_Cars_81026.jpg",KIA,suv
"88,000+_Images_of_Cars_15135.jpg",FORD,suv
"88,000+_Images_of_Cars_53160.jpg",VOLVO,suv
"88,000+_Images_of_Cars_119.jpg",FORD,family_car
"88,000+_Images_of_Cars_43373.jpg",CHEVROLET,suv
"88,000+_Images_of_Cars_58035.jpg",RENAULT,suv
"88,000+_Images_of_Cars_31083.jpg",VOLVO,suv
"88,000+_Images_of_Cars_57306.jpg",CHEVROLET,suv
"88,000+_Images_of_Cars_21290.jpg",FORD,sedan
"88,000+_Images_of_Cars_50469.jpg",SKODA,sedan
"88,000+_Images_of_Cars_27839.jpg",CHEVROLET,suv
"88,000+_Images_of_Cars_29814.jpg",ALFAROMEO,sports_car
"88,000+_Images_of_Cars_5641.jpg",CHEVROLET,sports_car
"88,000+_Images_of_Cars_49138.jpg",CHEVROLET,sports_car
test_03727.jpg,CHEVROLET,suv
"88,000+_Images_of_Cars_51777.jpg",FIAT,family_car
train_06912.jpg,KIA,family_car
"88,000+_Images_of_Cars_70961.jpg",NISSAN,suv
"88,000+_Images_of_Cars_22969.jpg",VOLVO,sports_car
"88,000+_Images_of_Cars_55539.jpg",FORD,suv
test_07569.jpg,FORD,family_car
"88,000+_Images_of_Cars_6360.jpg",NISSAN,sports_car
"88,000+_Images_of_Cars_52256.jpg",VOLVO,sports_car
test_01118.jpg,FORD,suv
"88,000+_Images_of_Cars_44434.jpg",KIA,sedan
test_06677.jpg,FORD,suv
"88,000+_Images_of_Cars_131.jpg",CITROEN,sports_car
"88,000+_Images_of_Cars_83619.jpg",FORD,suv
"88,000+_Images_of_Cars_40652.jpg",NISSAN,family_car
"88,000+_Images_of_Cars_16414.jpg",HYUNDAI,sports_car
"88,000+_Images_of_Cars_50441.jpg",NISSAN,suv
"88,000+_Images_of_Cars_5669.jpg",CHEVROLET,suv
test_04060.jpg,FORD,family_car
"88,000+_Images_of_Cars_59303.jpg",HONDA,sedan
train_00393.jpg,VOLVO,suv
test_04706.jpg,KIA,hatchback
"88,000+_Images_of_Cars_47883.jpg",CHEVROLET,suv
"88,000+_Images_of_Cars_68860.jpg",ALFAROMEO,sports_car
"88,000+_Images_of_Cars_46545.jpg",FIAT,sports_car
"88,000+_Images_of_Cars_51039.jpg",LEXUS,sports_car
"88,000+_Images_of_Cars_77940.jpg",LEXUS,sports_car
train_06084.jpg,FIAT,family_car
"88,000+_Images_of_Cars_48568.jpg",KIA,family_car
"88,000+_Images_of_Cars_39391.jpg",NISSAN,sports_car
test_02377.jpg,VOLVO,sports_car
"88,000+_Images_of_Cars_57448.jpg",FORD,suv
"88,000+_Images_of_Cars_20818.jpg",PEUGEOT,suv
"88,000+_Images_of_Cars_29182.jpg",CITROEN,sedan
"88,000+_Images_of_Cars_12114.jpg",CHEVROLET,sports_car
"88,000+_Images_of_Cars_657.jpg",VOLVO,family_car
"88,000+_Images_of_Cars_80476.jpg",KIA,suv
