brand,model,body_style,segment,title,path
ALFAROMEO,ALFA ROMEO Giulia Veloce,Sedan (four-door),Medium,ALFA ROMEO Giulia Veloce 2016Present,ALFA_ROMEO_Giulia_Veloce_2016Present
ALFAROMEO,ALFA ROMEO Giulietta,Coup (two-door),Compact,ALFA ROMEO Giulietta 20102016,ALFA_ROMEO_Giulietta_20102016
ALFAROMEO,ALFA ROMEO Giulietta,Coup (two-door),Compact,ALFA ROMEO Giulietta 2016Present,ALFA_ROMEO_Giulietta_2016Present
ALFAROMEO,ALFA ROMEO Giulietta Quadrifoglio Verde,Hatchback,Compact,ALFA ROMEO Giulietta Quadrifoglio Verde 20112016,ALFA_ROMEO_Giulietta_Quadrifoglio_Verde_20112016
ALFAROMEO,ALFA ROMEO GT,Coup (two-door),Coupe,ALFA ROMEO GT 20032010,ALFA_ROMEO_GT_20032010
ALFAROMEO,ALFA ROMEO GTV,Coup (two-door),Coupe,ALFA ROMEO GTV 20032005,ALFA_ROMEO_GTV_20032005
ALFAROMEO,ALFA ROMEO MiTo,Hatchback,Small,ALFA ROMEO MiTo 20082013,ALFA_ROMEO_MiTo_20082013
ALFAROMEO,ALFA ROMEO MiTo,Hatchback,Mini,ALFA ROMEO MiTo 20132016,ALFA_ROMEO_MiTo_20132016
ALFAROMEO,ALFA ROMEO MiTo,Hatchback,Mini,ALFA ROMEO MiTo 20162018,ALFA_ROMEO_MiTo_20162018
ALFAROMEO,ALFA ROMEO MiTo Quadrifoglio Verde,Hatchback,Mini,ALFA ROMEO MiTo Quadrifoglio Verde 20092013,ALFA_ROMEO_MiTo_Quadrifoglio_Verde_20092013
ALFAROMEO,ALFA ROMEO MiTo Quadrifoglio Verde,Hatchback,Mini,ALFA ROMEO MiTo Quadrifoglio Verde 20132016,ALFA_ROMEO_MiTo_Quadrifoglio_Verde_20132016
ALFAROMEO,ALFA ROMEO Spider,"Convertible (spider/spyder, cabrio/cabriolet, drop/open/soft top)",Roadster & Convertible,ALFA ROMEO Spider 19952003,ALFA_ROMEO_Spider_19952003
ALFAROMEO,ALFA ROMEO Spider,"Convertible (spider/spyder, cabrio/cabriolet, drop/open/soft top)",Roadster & Convertible,ALFA ROMEO Spider 20032006,ALFA_ROMEO_Spider_20032006
ALFAROMEO,ALFA ROMEO Stelvio,SUV (Sports Utility Vehicle),Medium SUV,ALFA ROMEO Stelvio 20172022,ALFA_ROMEO_Stelvio_20172022
ALFAROMEO,ALFA ROMEO Stelvio Quadrifoglio,SUV (Sports Utility Vehicle),Medium SUV,ALFA ROMEO Stelvio Quadrifoglio 2017Present,ALFA_ROMEO_Stelvio_Quadrifoglio_2017Present
AUDI,AUDI S8,Sedan (four-door),Upper Premium,2006 Audi S8,2006_Audi_S8
AUDI,AUDI A3 Sportback,Hatchback,Entry Premium,2008 Audi A3 Sportback,2008_Audi_A3_Sportback
AUDI,AUDI R8 V8 Spyder,"Convertible (spider/spyder, cabrio/cabriolet, drop/open/soft top)",Exotic,2011 Audi R8 Spyder 42 FSI Quattro,2011_Audi_R8_Spyder_42_FSI_Quattro
AUDI,AUDI R8 GT US,Coup (two-door),Exotic,2023 Audi R8 GT US,2023_Audi_R8_GT_US
AUDI,AUDI RS6 Avant performance,"Wagon (station wagon, estate, combi, touring)",Compact,2023 Audi RS6 Avant performance,2023_Audi_RS6_Avant_performance
AUDI,AUDI RS7 Sportback performance,"Wagon (station wagon, estate, combi, touring)",Medium Premium,2023 Audi RS7 Sportback performance,2023_Audi_RS7_Sportback_performance
AUDI,AUDI A1,Hatchback,Compact,AUDI A1 20102018,AUDI_A1_20102018
AUDI,AUDI A1 citycarver,Hatchback,Small,AUDI A1 citycarver  2019Present,AUDI_A1_citycarver_2019Present
AUDI,AUDI A1 Quattro,Coup (two-door),Small,AUDI A1 Quattro 20122013,AUDI_A1_Quattro_20122013
AUDI,AUDI A1 Sportback,Hatchback,Entry Premium,AUDI A1 Sportback  20152018,AUDI_A1_Sportback_20152018
AUDI,AUDI A1 Sportback,Hatchback,Entry Premium,AUDI A1 Sportback  2018Present,AUDI_A1_Sportback_2018Present
AUDI,AUDI A1 Sportback 5 doors,Hatchback,Compact,AUDI A1 Sportback 5 doors 20122015,AUDI_A1_Sportback_5_doors_20122015
AUDI,AUDI A2,Van,Small,AUDI A2 19992005,AUDI_A2_19992005
AUDI,AUDI A3,Hatchback,Entry Premium,AUDI A3 19962003,AUDI_A3_19962003
AUDI,AUDI A3,Hatchback,Entry Premium,AUDI A3 20032005,AUDI_A3_20032005
AUDI,AUDI A3,Hatchback,Compact,AUDI A3 20052008,AUDI_A3_20052008
AUDI,AUDI A3,Hatchback,Entry Premium,AUDI A3 20082012,AUDI_A3_20082012
AUDI,AUDI A3,Hatchback,Compact,AUDI A3 20162017,AUDI_A3_20162017
AUDI,AUDI A3 Cabriolet,"Convertible (spider/spyder, cabrio/cabriolet, drop/open/soft top)",Roadster & Convertible,AUDI A3 Cabriolet 20082013,AUDI_A3_Cabriolet_20082013
AUDI,AUDI A3 Cabriolet,"Convertible (spider/spyder, cabrio/cabriolet, drop/open/soft top)",Coupe Cabrio,AUDI A3 Cabriolet 20132016,AUDI_A3_Cabriolet_20132016
AUDI,AUDI A3 Cabriolet,"Convertible (spider/spyder, cabrio/cabriolet, drop/open/soft top)",Compact,AUDI A3 Cabriolet 2016Present,AUDI_A3_Cabriolet_2016Present
AUDI,AUDI A3 Hatchback 3 doors,Hatchback,Entry Premium,AUDI A3 Hatchback 3 doors 20122016,AUDI_A3_Hatchback_3_doors_20122016
AUDI,AUDI A3 Sedan,Sedan (four-door),Compact,AUDI A3 Sedan 20132016,AUDI_A3_Sedan_20132016
AUDI,AUDI A3 Sedan,Sedan (four-door),Compact,AUDI A3 Sedan 20162020,AUDI_A3_Sedan_20162020
AUDI,AUDI A3 Sedan,Sedan (four-door),Compact,AUDI A3 Sedan 2020Present,AUDI_A3_Sedan_2020Present
AUDI,AUDI A3 Sportback,Hatchback,Entry Premium,AUDI A3 Sportback 19992003,AUDI_A3_Sportback_19992003
AUDI,AUDI A3 Sportback,Hatchback,Entry Premium,AUDI A3 Sportback 20042008,AUDI_A3_Sportback_20042008
AUDI,AUDI A3 Sportback,Hatchback,Compact,AUDI A3 Sportback 20162020,AUDI_A3_Sportback_20162020
AUDI,AUDI A3 Sportback,Hatchback,Compact,AUDI A3 Sportback 2020Present,AUDI_A3_Sportback_2020Present
AUDI,AUDI A3 Sportback 5 doors,Hatchback,Entry Premium,AUDI A3 Sportback 5 doors 20122016,AUDI_A3_Sportback_5_doors_20122016
AUDI,AUDI A3 Sportback etron,Hatchback,Compact,AUDI A3 Sportback etron 20132016,AUDI_A3_Sportback_etron_20132016
AUDI,AUDI A3 Sportback etron,Hatchback,Compact,AUDI A3 Sportback etron 2016Present,AUDI_A3_Sportback_etron_2016Present
AUDI,AUDI A3 Sportback gtron,Hatchback,Compact,AUDI A3 Sportback gtron 20132016,AUDI_A3_Sportback_gtron_20132016
AUDI,AUDI A4,Sedan (four-door),Lower Premium,AUDI A4 19942001,AUDI_A4_19942001
AUDI,AUDI A4,Sedan (four-door),Lower Premium,AUDI A4 20012004,AUDI_A4_20012004
AUDI,AUDI A4,Sedan (four-door),Lower Premium,AUDI A4 20042007,AUDI_A4_20042007
AUDI,AUDI A4,Sedan (four-door),Lower Premium,AUDI A4 20072012,AUDI_A4_20072012
AUDI,AUDI A4,Sedan (four-door),Medium,AUDI A4 20122016,AUDI_A4_20122016
AUDI,AUDI A4,Sedan (four-door),Medium,AUDI A4 20162018,AUDI_A4_20162018
AUDI,AUDI A4,Sedan (four-door),Medium,AUDI A4 20182019,AUDI_A4_20182019
AUDI,AUDI A4,Sedan (four-door),Lower Premium,AUDI A4 2019Present,AUDI_A4_2019Present
AUDI,AUDI A4 Allroad,"Wagon (station wagon, estate, combi, touring)",Crossover,AUDI A4 Allroad 20092011,AUDI_A4_Allroad_20092011
AUDI,AUDI A4 Allroad,"Wagon (station wagon, estate, combi, touring)",Crossover,AUDI A4 Allroad 20122016,AUDI_A4_Allroad_20122016
AUDI,AUDI A4 Allroad quattro,"Wagon (station wagon, estate, combi, touring)",Compact,AUDI A4 Allroad quattro 2019Present,AUDI_A4_Allroad_quattro_2019Present
AUDI,AUDI A4 Avant,"Wagon (station wagon, estate, combi, touring)",Lower Premium,AUDI A4 Avant 19962001,AUDI_A4_Avant_19962001
AUDI,AUDI A4 Avant,"Wagon (station wagon, estate, combi, touring)",Lower Premium,AUDI A4 Avant 20012004,AUDI_A4_Avant_20012004
AUDI,AUDI A4 Avant,"Wagon (station wagon, estate, combi, touring)",Lower Premium,AUDI A4 Avant 20042007,AUDI_A4_Avant_20042007
AUDI,AUDI A4 Avant,"Wagon (station wagon, estate, combi, touring)",Medium,AUDI A4 Avant 20082012,AUDI_A4_Avant_20082012
AUDI,AUDI A4 Avant,"Wagon (station wagon, estate, combi, touring)",Medium,AUDI A4 Avant 20122016,AUDI_A4_Avant_20122016
AUDI,AUDI A4 Avant,"Wagon (station wagon, estate, combi, touring)",Medium,AUDI A4 Avant 20162018,AUDI_A4_Avant_20162018
AUDI,AUDI A4 Avant,"Wagon (station wagon, estate, combi, touring)",Medium,AUDI A4 Avant 20182019,AUDI_A4_Avant_20182019
AUDI,AUDI A4 Avant,"Wagon (station wagon, estate, combi, touring)",Lower Premium,AUDI A4 Avant 2019Present,AUDI_A4_Avant_2019Present
AUDI,AUDI A4 Cabriolet,"Convertible (spider/spyder, cabrio/cabriolet, drop/open/soft top)",Roadster & Convertible,AUDI A4 Cabriolet 20022005,AUDI_A4_Cabriolet_20022005
AUDI,AUDI A4 Cabriolet,"Convertible (spider/spyder, cabrio/cabriolet, drop/open/soft top)",Roadster & Convertible,AUDI A4 Cabriolet 20052008,AUDI_A4_Cabriolet_20052008
AUDI,AUDI A4 DTM Edition,Sedan (four-door),Lower Premium,AUDI A4 DTM Edition 20052007,AUDI_A4_DTM_Edition_20052007
AUDI,AUDI A4L,Sedan (four-door),Medium,AUDI A4L 20122016,AUDI_A4L_20122016
AUDI,AUDI A5,Coup (two-door),Coupe,AUDI A5  20112016,AUDI_A5_20112016
AUDI,AUDI A5,Coup (two-door),Premium Coupe,AUDI A5 20072011,AUDI_A5_20072011
AUDI,AUDI A5,Coup (two-door),Premium Coupe,AUDI A5 2016Present,AUDI_A5_2016Present
AUDI,AUDI A5 Cabriolet,"Convertible (spider/spyder, cabrio/cabriolet, drop/open/soft top)",Roadster & Convertible,AUDI A5 Cabriolet 20092012,AUDI_A5_Cabriolet_20092012
AUDI,AUDI A5 Cabriolet,"Convertible (spider/spyder, cabrio/cabriolet, drop/open/soft top)",Coupe Cabrio,AUDI A5 Cabriolet 2012Present,AUDI_A5_Cabriolet_2012Present
AUDI,AUDI A5 Sportback,Hatchback,Lower Premium,AUDI A5 Sportback 20092011,AUDI_A5_Sportback_20092011
AUDI,AUDI A5 Sportback,Hatchback,Medium,AUDI A5 Sportback 2011Present,AUDI_A5_Sportback_2011Present
AUDI,AUDI A5 Sportback,Hatchback,Medium,AUDI A5 Sportback 20162019,AUDI_A5_Sportback_20162019
AUDI,AUDI A5 Sportback,Hatchback,Medium,AUDI A5 Sportback 2019Present,AUDI_A5_Sportback_2019Present
AUDI,AUDI A6,Sedan (four-door),Medium Premium,AUDI A6 19972001,AUDI_A6_19972001
AUDI,AUDI A6,Sedan (four-door),Medium Premium,AUDI A6 20012004,AUDI_A6_20012004
AUDI,AUDI A6,Sedan (four-door),Medium Premium,AUDI A6 20052008,AUDI_A6_20052008
AUDI,AUDI A6,Sedan (four-door),Medium Premium,AUDI A6 20082011,AUDI_A6_20082011
AUDI,AUDI A6,Sedan (four-door),Medium Premium,AUDI A6 20112014,AUDI_A6_20112014
AUDI,AUDI A6,Sedan (four-door),Medium,AUDI A6 20142018,AUDI_A6_20142018
AUDI,AUDI A6,Sedan (four-door),Medium,AUDI A6 2018Present,AUDI_A6_2018Present
AUDI,AUDI A6 Allroad,SUV (Sports Utility Vehicle),Crossover,AUDI A6 Allroad 20062011,AUDI_A6_Allroad_20062011
AUDI,AUDI A6 AllRoad,SUV (Sports Utility Vehicle),Crossover,AUDI A6 AllRoad 20122019,AUDI_A6_AllRoad_20122019
AUDI,AUDI A6 Avant,"Wagon (station wagon, estate, combi, touring)",Medium Premium,AUDI A6 Avant 19982001,AUDI_A6_Avant_19982001
AUDI,AUDI A6 Avant,"Wagon (station wagon, estate, combi, touring)",Medium Premium,AUDI A6 Avant 20012004,AUDI_A6_Avant_20012004
AUDI,AUDI A6 Avant,"Wagon (station wagon, estate, combi, touring)",Medium Premium,AUDI A6 Avant 20052008,AUDI_A6_Avant_20052008
AUDI,AUDI A6 Avant,"Wagon (station wagon, estate, combi, touring)",Medium Premium,AUDI A6 Avant 20082011,AUDI_A6_Avant_20082011
AUDI,AUDI A6 Avant,"Wagon (station wagon, estate, combi, touring)",Medium Premium,AUDI A6 Avant 20112014,AUDI_A6_Avant_20112014
AUDI,AUDI A6 Avant,"Wagon (station wagon, estate, combi, touring)",Medium Premium,AUDI A6 Avant 20142018,AUDI_A6_Avant_20142018
AUDI,AUDI A6 Avant C8,"Wagon (station wagon, estate, combi, touring)",Medium Premium,AUDI A6 Avant C8 2018Present,AUDI_A6_Avant_C8_2018Present
AUDI,AUDI A7 Sportback,Hatchback,Medium Premium,AUDI A7 Sportback 20102014,AUDI_A7_Sportback_20102014
AUDI,AUDI A7 Sportback,Hatchback,Medium Premium,AUDI A7 Sportback 20142017,AUDI_A7_Sportback_20142017
AUDI,AUDI A7 Sportback,Hatchback,Large,AUDI A7 Sportback 2017Present,AUDI_A7_Sportback_2017Present
AUDI,AUDI A8,Sedan (four-door),Large,AUDI A8 2017Present,AUDI_A8_2017Present
AUDI,AUDI A8,Sedan (four-door),Luxury,AUDI A8 2021Present,AUDI_A8_2021Present
AUDI,AUDI A8 D2,Sedan (four-door),Upper Premium,AUDI A8 D2 19941999,AUDI_A8_D2_19941999
AUDI,AUDI A8 D2,Sedan (four-door),Large,AUDI A8 D2 19992002,AUDI_A8_D2_19992002
AUDI,AUDI A8 D3,Sedan (four-door),Upper Premium,AUDI A8 D3 20032005,AUDI_A8_D3_20032005
AUDI,AUDI A8 D3f,Sedan (four-door),Upper Premium,AUDI A8 D3f 20052009,AUDI_A8_D3f_20052009
AUDI,AUDI A8 D4,Sedan (four-door),Upper Premium,AUDI A8 D4 20102013,AUDI_A8_D4_20102013
AUDI,AUDI A8 D4,Sedan (four-door),Upper Premium,AUDI A8 D4 20132017,AUDI_A8_D4_20132017
AUDI,AUDI A8 L,Sedan (four-door),Luxury,AUDI A8 L 20102013,AUDI_A8_L_20102013
AUDI,AUDI A8 L,Sedan (four-door),Luxury,AUDI A8 L 20132017,AUDI_A8_L_20132017
AUDI,AUDI A8 L,Sedan (four-door),Large,AUDI A8 L 2017Present,AUDI_A8_L_2017Present
AUDI,AUDI Allroad,SUV (Sports Utility Vehicle),Crossover,AUDI Allroad 20002006,AUDI_Allroad_20002006
AUDI,AUDI Cabriolet,"Convertible (spider/spyder, cabrio/cabriolet, drop/open/soft top)",Roadster & Convertible,AUDI Cabriolet 19912000,AUDI_Cabriolet_19912000
AUDI,AUDI etron,SUV (Sports Utility Vehicle),Medium SUV,AUDI etron 2019Present,AUDI_etron_2019Present
AUDI,AUDI etron GT quattro,Sedan (four-door),Compact,AUDI etron GT quattro 2021Present,AUDI_etron_GT_quattro_2021Present
AUDI,AUDI etron Sportback,SUV (Sports Utility Vehicle),Medium SUV,AUDI etron Sportback 2019Present,AUDI_etron_Sportback_2019Present
AUDI,AUDI Q2,SUV (Sports Utility Vehicle),Crossover,AUDI Q2 20162020,AUDI_Q2_20162020
AUDI,AUDI Q2,SUV (Sports Utility Vehicle),Crossover,AUDI Q2 2020Present,AUDI_Q2_2020Present
AUDI,AUDI Q3,SUV (Sports Utility Vehicle),Small SUV,AUDI Q3 20112015,AUDI_Q3_20112015
AUDI,AUDI Q3,SUV (Sports Utility Vehicle),Crossover,AUDI Q3 2018Present,AUDI_Q3_2018Present
AUDI,AUDI Q3 Facelift,SUV (Sports Utility Vehicle),Compact,AUDI Q3 Facelift 20152017,AUDI_Q3_Facelift_20152017
AUDI,AUDI Q3 Facelift,SUV (Sports Utility Vehicle),Crossover,AUDI Q3 Facelift 20162018,AUDI_Q3_Facelift_20162018
AUDI,AUDI Q3 Sportback,SUV (Sports Utility Vehicle),Crossover,AUDI Q3 Sportback 2019Present,AUDI_Q3_Sportback_2019Present
AUDI,AUDI Q4 etron,SUV (Sports Utility Vehicle),Medium SUV,AUDI Q4 etron 2021Present,AUDI_Q4_etron_2021Present
AUDI,AUDI Q5,SUV (Sports Utility Vehicle),Premium SUV,AUDI Q5 20082012,AUDI_Q5_20082012
AUDI,AUDI Q5,SUV (Sports Utility Vehicle),Crossover,AUDI Q5 20122016,AUDI_Q5_20122016
AUDI,AUDI Q5,SUV (Sports Utility Vehicle),Crossover,AUDI Q5 20162020,AUDI_Q5_20162020
AUDI,AUDI Q5,SUV (Sports Utility Vehicle),Crossover,AUDI Q5 2020Present,AUDI_Q5_2020Present
AUDI,AUDI Q5 Sportback,SUV (Sports Utility Vehicle),Large SUV,AUDI Q5 Sportback 2020Present,AUDI_Q5_Sportback_2020Present
AUDI,AUDI Q7,SUV (Sports Utility Vehicle),Premium SUV,AUDI Q7 20062009,AUDI_Q7_20062009
AUDI,AUDI Q7,SUV (Sports Utility Vehicle),Premium SUV,AUDI Q7 20092015,AUDI_Q7_20092015
AUDI,AUDI Q7,SUV (Sports Utility Vehicle),Large SUV,AUDI Q7 20152019,AUDI_Q7_20152019
AUDI,AUDI Q7,SUV (Sports Utility Vehicle),Large SUV,AUDI Q7 2019Present,AUDI_Q7_2019Present
AUDI,AUDI Q8 etron,SUV (Sports Utility Vehicle),Large SUV,AUDI Q8 etron 2022Present,AUDI_Q8_etron_2022Present
AUDI,AUDI Q8 Sportback etron,SUV (Sports Utility Vehicle),Medium SUV,AUDI Q8 Sportback etron 2023,AUDI_Q8_Sportback_etron_2023
AUDI,AUDI R8,Coup (two-door),Exotic,AUDI R8 20152018,AUDI_R8_20152018
AUDI,AUDI R8 Coupe,Coup (two-door),Coupe,AUDI R8 Coupe 2018Present,AUDI_R8_Coupe_2018Present
AUDI,AUDI R8 GT,Coup (two-door),Exotic,AUDI R8 GT 20102013,AUDI_R8_GT_20102013
AUDI,AUDI R8 GT Spyder,"Convertible (spider/spyder, cabrio/cabriolet, drop/open/soft top)",Exotic,AUDI R8 GT Spyder 20112013,AUDI_R8_GT_Spyder_20112013
AUDI,AUDI R8 Spyder,"Convertible (spider/spyder, cabrio/cabriolet, drop/open/soft top)",Roadster & Convertible,AUDI R8 Spyder 2018Present,AUDI_R8_Spyder_2018Present
AUDI,AUDI R8 V10,Coup (two-door),Exotic,AUDI R8 V10 20082012,AUDI_R8_V10_20082012
AUDI,AUDI R8 V10,Coup (two-door),Exotic,AUDI R8 V10 20122015,AUDI_R8_V10_20122015
AUDI,AUDI R8 V10 performance RWD,Coup (two-door),Coupe,AUDI R8 V10 performance RWD 2021Present,AUDI_R8_V10_performance_RWD_2021Present
AUDI,AUDI R8 V10 performance RWD Spyder,"Convertible (spider/spyder, cabrio/cabriolet, drop/open/soft top)",Coupe Cabrio,AUDI R8 V10 performance RWD Spyder 2021Present,AUDI_R8_V10_performance_RWD_Spyder_2021Present
AUDI,AUDI R8 V10 RWS,Coup (two-door),Coupe,AUDI R8 V10 RWS 20172021,AUDI_R8_V10_RWS_20172021
AUDI,AUDI R8 V10 Spyder,"Convertible (spider/spyder, cabrio/cabriolet, drop/open/soft top)",Exotic,AUDI R8 V10 Spyder 20102016,AUDI_R8_V10_Spyder_20102016
AUDI,AUDI R8 V10 Spyder,"Convertible (spider/spyder, cabrio/cabriolet, drop/open/soft top)",Roadster & Convertible,AUDI R8 V10 Spyder 20162018,AUDI_R8_V10_Spyder_20162018
AUDI,AUDI R8 V8,Coup (two-door),Exotic,AUDI R8 V8 20072012,AUDI_R8_V8_20072012
AUDI,AUDI RS 3 Sedan,Sedan (four-door),Compact,AUDI RS 3 Sedan 20162020,AUDI_RS_3_Sedan_20162020
AUDI,AUDI RS 3 Sedan,Sedan (four-door),Compact,AUDI RS 3 Sedan 2021Present,AUDI_RS_3_Sedan_2021Present
AUDI,AUDI RS 3 Sportback,Hatchback,Entry Premium,AUDI RS 3 Sportback 20102012,AUDI_RS_3_Sportback_20102012
AUDI,AUDI RS 3 Sportback,Hatchback,Compact,AUDI RS 3 Sportback 20152017,AUDI_RS_3_Sportback_20152017
AUDI,AUDI RS 3 Sportback,Hatchback,Compact,AUDI RS 3 Sportback 2017Present,AUDI_RS_3_Sportback_2017Present
AUDI,AUDI RS 3 Sportback,Hatchback,Compact,AUDI RS 3 Sportback 2021Present,AUDI_RS_3_Sportback_2021Present
AUDI,AUDI RS etron GT,Sedan (four-door),Compact,AUDI RS etron GT 2021Present,AUDI_RS_etron_GT_2021Present
AUDI,AUDI RS Q3,SUV (Sports Utility Vehicle),Small SUV,AUDI RS Q3 20132015,AUDI_RS_Q3_20132015
AUDI,AUDI RS Q3 Facelift,SUV (Sports Utility Vehicle),Small MPV,AUDI RS Q3 Facelift 2015,AUDI_RS_Q3_Facelift_2015
AUDI,AUDI RS Q8,SUV (Sports Utility Vehicle),Premium SUV,AUDI RS Q8 2019Present,AUDI_RS_Q8_2019Present
AUDI,AUDI RS4,"Wagon (station wagon, estate, combi, touring)",Lower Premium,AUDI RS4 20002001,AUDI_RS4_20002001
AUDI,AUDI RS4 Avant B8,"Wagon (station wagon, estate, combi, touring)",Lower Premium,AUDI RS4 Avant B8 20122015,AUDI_RS4_Avant_B8_20122015
AUDI,AUDI RS4 Avant B9,"Wagon (station wagon, estate, combi, touring)",Compact,AUDI RS4 Avant B9 20172019,AUDI_RS4_Avant_B9_20172019
AUDI,AUDI RS4 Avant B9,"Wagon (station wagon, estate, combi, touring)",Compact,AUDI RS4 Avant B9 2019Present,AUDI_RS4_Avant_B9_2019Present
AUDI,AUDI RS5,Coup (two-door),Premium Coupe,AUDI RS5 20102017,AUDI_RS5_20102017
AUDI,AUDI RS5 Cabriolet,"Convertible (spider/spyder, cabrio/cabriolet, drop/open/soft top)",Coupe Cabrio,AUDI RS5 Cabriolet 20132015,AUDI_RS5_Cabriolet_20132015
AUDI,AUDI RS5 Coupe,Coup (two-door),Coupe,AUDI RS5 Coupe 20172019,AUDI_RS5_Coupe_20172019
